text_length,numeric_values,possible_dates,filename,true_label,predicted_label,correct_prediction
2161,"['23', '440036', '917387082495', '028', '34980', '19', '2018', '5', '763.00', '6734787', '19', '32672825', '500000', '27', '0610572017', '091052017', '1170512017', '99190956', '3', '1710512017', '500000', '37.95087', '138', '0310612017', '310612017', '171062077', '500000', '70.60287']","['01/04/2017', 'a-349802030002044', '02/04/2017', '01-2017', '31-03-201', 'MaR-17', 'ToS-0', '-', '|nsPSAn‘709809007409/56)', '1704/2017', '-', '1666/35853540356,', 'APR-17', 'TOS-9|', '1666/a5859540356,', '1505/2017', '|mpsani713510308484/56}', '5105/2017', '16105/2017|', '2106/2017', 'MAY-17', '|nmPsani715409962405/S6]', '1666/95859540356,', '136854981032687961/34', '-', '[ntpsasi71¢809103875/U8]']",3.jpg,Bank Statement,ITR_Form 16,False
1229,"['6011', '03762', '00582', '2018', '2018', '408', '01234', '44', '2018', '0.00', '2018', '03', '6.00', '04', '2.00', '09', '46.35', '24', '86.74', '25', '762', '26', '214.86', '761', '01', '2.00', '6.00']","['567-890-1', '1-800-Royal®2-0', '(1-800-769-2520)', 'www.rbcroyalbank.com/business', '-', 'PAY-FILE', '-', '-', 'PAY-FILE']",30.jpg,Bank Statement,ITR_Form 16,False
1090,"['1234', '345', '000000012345', '4598', '234', '75.99', '253.68', '243.46', '750.00', '456.84', '268.84']","['12345-0123', '1-800-555-1234', '03/01/2021', '04/01/2021', '12345-0123', '123-555-5678', '03/02', '03/05', '03/06', '03/10', '03/12', '03/16', '03/21', '03/21', '03/26', '03/28', '03/29']",31.jpg,Bank Statement,ITR_Form 16,False
2669,"['1', '003601000453', '1', '1616.8', '0.', '8', '23223.', '0.', '3', '100.', '0.', '3516.', '0.', '9707.09', '5', '0.', '7000.', '6', '14707.09', '7', '151052017', '8', '4000.', '2207.09', '9', '151052017', '70', '30507.09', '151052017', '3477.09', '2', '231052017', '39707.09', '13', '2910572017', '12.', '39695.09', '14', '6472.09', '100.', '0.', '20', '0.', '16352.09', '131062017', '17.29', '18', '791062017', '3847.', '0.', '36487.64', '1171856700', '28082017', '291062017', '0.', '206.', '3678364', '24', '22', '22072017', '707221160320', '0.', '26072017', '3000.', '0.', '0.', '3000.', '25223.', '0.', '7', '0.', '500', '0.', '70700.41', '45', '55', '22082017', '221082017', '0.', '30000', '4010047']","['-', '17/04/2017', '-', '-', '18/10/2017', 'BIL/001195684920/NchgRs2.50STRSO.', '‘0105/2017', '[BTNE00002093174-LN', '‘07/05/2017', '‘08/05/2017', 'PKT/100030918881/DG~00350100045', '‘09/05/2017', '‘0905/2017', 'BiL/001207365750/PGMIB-', 'HTTPSi//SECURE.', '‘0905/2017', '‘09/05/2017', 'IEFT-SBIN617', '120258673-Mr', '75/05/2017', '15/05/2017', 'S/017476/CMS.', '15/05/2017', 'S/0174791CMS', '15/05/2017', '75/05/2017', 'S/017478/CMS', '15/05/2017', 'S/017475/CMS', '15/05/2017', '15/05/2017', 'S/017477/CMS.', '15/05/2017', 'S/017474)CMS', '23/05/2017', '2e/05I2017', '‘01/06/2017', '‘01/06/2017', '[BTNE00002093174-LN', '‘06/06/2017', 'PKT/100033157177/DG~00350100045', '‘06/06/2017', 'PS/mVISAITATASKY', '/20170606201028/0', '13/06/2017', 'MSChgsApri7-Jun17+Stax2.25', '75/06/2017', '15/06/2017', '79/06/2017', 'BIL/001283731407/ICICI', 'Payment/43755', ')03501000453:IntPd:31-03-2017', '8-06-2017', 'BTNE00002003174-LN', '‘OB/O7I2017', '0607/2017', 'Vi182054/T', 'Sho/201', 'BIL/001258766268/IMOPSPPSEVA_JI', 'DEPOSIT/PANCHPAKHADI,', '‘01/08/2017', '‘0108/2017', '[BTNE00002093174-LN', '‘08/08/2017', '‘08/08/2017', 'DEPOSIT/PANCHPAKHADI,', '‘0908/2017', '‘0908/2017', 'BIL/001269477', '179/NchgRs2.50GSTRS|', 'IEFT-SBINS17234728814-Mr']",32.jpg,Bank Statement,ITR_Form 16,False
445,"['3000010000315', '1', '450.00', '974.00', '3', '4']","['VERMA-30000100003115.', '1610/15', '17/10/15', '(1-404)', 'com17-10-2018', '1323:44/SWT', '—PGOR/ONEST', 'L/16-10-2015', 'com16-10-2018']",33.jpg,Bank Statement,ITR_Form 16,False
1808,"['408', '30', '775671220714', '301000873', '8557475493', '301000874', '301000875', '301776100', '0727', '50', '302892881', '303042904', '303978185', '8557475493', '303978184', '304255288', '304255287', '304255289', '304453307', '449.00', '100.00', '031222', '08461', '03581', '149.80', '04401', '151.52', '449.00', '09731', '408.66', '02564', '149.94', '1234', '0.00', '204.17', '4.65', '449.00', '100.00', '149.80', '160.00', '449.00', '408.66']","['08/11/2019', '(MM/DD/YYYY):', 'o7/t7', 'o7/t7', '888-434-0055', '07/20', '07/22', '07/29', '07/30', '07/30', 'AMZN.COM/BILL', '08/03', '08/05', '888-527-3282', '08/04', '08/05', '08/06', '08/07', '08/06', '08/07', '08/07', '08/07', 'AMZN.COM/BILL', '08/07', '08/08', 'Pre-Tax', 'XXXX-XAXX-XXXK=']",34.jpg,Bank Statement,ITR_Form 16,False
1252,"['2', '2']","['09/21/2021', '09/10/2021', '09/08', '09/10/2021', '09/11/2021', '09/14/2021', '09/14/2021', '09/14/2021', '09/13', '09/17/2021', '09/15', '09/17/2021', '09/16', '09/17/2021', '09/15', '09/18/2021', '09/18/2021', '09/20/2021', '09/21/2021', '09/04/2021', '09/10/2021', '09/18/2021', '09/05/2021', '09/11/2021', '09/20/2021', '09/06/2021', '09/14/2021', '09/07/2021', '09/17/2021', 'year-to-date']",35.jpg,Bank Statement,ITR_Form 16,False
1158,"['0987', '123', '670.00', '3456', '740.00', '347.85', '75.45', '330.96', '88.88', '0231', '18.75', '3.75']","['12345-6789', '1-000-222-3456', '12345-6789', '06/01/2022', '06/30/2022', '111-222-3333', '06/01', '26/03', '06/08', '06/13', '06/15', '06/18', '06/24', '06/25', '06/28', '06/29', '26/30', '06/30', '06/30']",37.jpg,Bank Statement,ITR_Form 16,False
1026,"['231', '2450', '108', '78521', '0302432', '0302433', '0302434', '0302435', '0302436', '0302437', '0302438', '0302439', '0302440', '1234567890', '1', '1', '100.00', '500.00', '1.05', '1.67']","['mmidd/yyyy', 'mmidd/yyyy', 'mmidd/yyyy', 'mmidd/yyyy', 'mmidd/yyyy', '-', 'mmidd/yyyy', 'mmidd/yyyy', 'mmidd/yyyy', 'mmidd/yyyy', '2547-96574-2541-4004', 'mmi/dd/yyyy']",39.jpg,Bank Statement,ITR_Form 16,False
550,"['9', '1.800.288.4408', '1.800.688.6086', '101', '23', '10006', '25118', '2020', '2020', '0009', '0009', '0009', '3', '0009', '0009', '0009', '5']","['TDD/TTY', '33622-5118', 'Account/plan']",41.jpg,Bank Statement,ITR_Form 16,False
1538,"['526473', '52362', '52631', '00053642', '025', '32500228', '1', '000000000', '75', '0000', '275', '2016', '2016', '000002415483497', '0000024', '15483497', '000002547390862', '893.30', '2016', '36', '21', '112', '67', '3', '1', '240', '000002415483497', '1', '10']","['-', '35251-48251', '1-522-362-1247', '1-534-235-6437', '1-463-232-7733', '1-348-112-4567', '-10,369.47', '-66,205.00', '-39,170.39', '-8,897.85', '-8.40']",42.jpg,Bank Statement,ITR_Form 16,False
1841,"['4', '123', '21224', '3', '20', '57.48', '071582', '8002473680', '5829389', '42.99', '160.75', '170.00', '195.00', '188.59', '10101', '180.00', '008838', '70.11', '12.98', '116.22', '19.86', '400.00', '14.06']","['1/2078', '443-573-4800', '1-877-527-2703', 'CHECKING-XXXXXXXX4101', '09/01/2018', '09/21/2018', '09/01/2018', '09/04/2018', '09/02', '09/04/2018', '09/05/2018', '09/05/2018', '09/05/2018', '09/06/2018', '09/06/2018', '09/06/2018', '09/07/2018', '09/07/2018', '09/10/2018', '09/07', '09/10/2018', '09/08', '09/10/2018', '09/11/2018', '09/14/2018', '09/14/2018', '09/14/2018', '09/13', '09/17/2018', '09/15', 'MARTINSBURG-INWOOD', '09/17/2018', '09/16']",43.jpg,Bank Statement,ITR_Form 16,False
1379,"['132', '032', '1997', '301095', '301096', '301086', '301099', '301100', '301097', '301098', '300903', '300902', '301050', '300906', '300905', '300910', '300911', '31', '1997', '31', '1997', '38.90', '45.00', '883.30', '36.00', '855.10', '566.60', '141.80', '253.80', '362.50', '90.40', '10.00', '883.30', '266.98', '38.30', '598.40', '235.15', '656.20', '369.25', '240.00']","['l-Aug', 'l-Aug', 'l-Aug', 'WITHDRAWAL/CHEQUE', 'l-Aug', 'WITHDRAWAL/CHEQUE', '5-Aug', 'WITHDRAWAL/CHEQUE', '7-Aug', 'WITHDRAWAL/CHEQUE', '8-Aug', 'WITHDRAWAL/CHEQUE', '10-Aug', 'WITHDRAWAL/CHEQUE', '12-Aug', 'WITHDRAWAL/CHEQUE', '13-Aug', '15-Aug', 'WITHDRAWAL/CHEQUE', '18-Aug', '=WITHDRAWAL/CHEQUE', '18-Aug', 'WITHDRAWAL/CHEQUE', '18-Aug', 'WITHDRAWAL/CHEQUE', '20-Aug', '2l-Aug', '22-Aug', 'WITHDRAWAL/CHEQUE', '24-Aug', '25-Aug', '=WITHDRAWAL/CHEQUE', '29-Aug', '9WITHDRAWAL/CHEQUE', '-']",44.jpg,Bank Statement,ITR_Form 16,False
1622,"['4047', '19715', '1234', '5678', '5879', '2004', '2004', '1361', '1361', '145.15', '727.50', '100.00', '47.82', '0.93', '40.00', '148.11', '60.00', '20.00', '125.13', '6.94', '2004', '2004', '7', '85.00', '15']","['RECPDA0001-123456789-01-000001-1-0001', '02782-5094431', 'JEAN-BAPTISTE,', '-1361', '-', '-', '-', '-', '-', '-', '02782-5094431', '1-800', '1-1', '(1-800-769-2511)', 'www.rbcroyalbank.com/deposits', 'www.rbcroyalbank.com/online', '1-800-ROYAL®', '5-5', '(1-800-769-2555)']",45.jpg,Bank Statement,ITR_Form 16,False
1257,"['3', '1', '2', '3', '4', '5', '01111113', '000000', '4304567890987', '2019', '0.00', '0.00', '419.08', '100.00', '0.00', '319.08', '100.00', '0.00', '219.08', '100.00', '0.00', '119.08', '100.00', '0.00', '19.08', '0.00', '100.00', '0.00', '100.00', '0.00', '0.00', '422.74', '0.00', '0.00', '913.63', '500.00', '0.00', '413.63', '413.63', '1', '2']","['E-mail', '0000-30001-', '29-Dec-2018', '12-Jan-2019', '01-Jan-2019', 'pRcR/easy.', 'D/4301201810853001', '01-Jan-2019', 'PRCR/easy.', 'D/4301201810853001', '01-Jan-2019', 'PRCR/easy.', 'D/4301201810853001', '01-Jan-2019', 'PRCR/easy.', 'D/4301201810853001', '02-Jan-2019', 'EFT/IC/BANK', 'ASIA/FRD', 'ACCOUN/FR', '02-Jan-2019', 'PRCR/easy.', 'D/4301201810853001', '02-Jan-2019', 'PRCR/easy', 'D/4301201810853001', '03-Jan-2019', 'CWDR/MOKKA-MODINA', 'G/4301201810853001', '07-Jan-2019', 'EFT/IC/BANK', 'ASIA/FRD', 'ACCOUN/FR', '07-Jan-2019', 'CWDR/MOKKA-MODINA', 'G/4301201810853001', '10-Jan-2019', 'CWDR/MOKKA-MODINA', 'G/4301201810853001']",46.jpg,Bank Statement,ITR_Form 16,False
1246,"['231', '2450', '108', '78521', '132.30', '515.22', '80.00', '100.00', '150.00', '177.00', '122.22', '000234', '9.33', '270.00', '280.00']","['mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', '111-234-567-890', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy', 'mm/dd/yyyy']",47.jpg,Bank Statement,ITR_Form 16,False
791,"['02', '2019', '02', '2019', '10', '2019', '15', '15', '2019', '20', '2019', '2019', '25', '25', '2019']",['RefNo/ChequeNo|'],49.jpg,Bank Statement,ITR_Form 16,False
3288,"['152321', '33', '012345678', '000016170301074834000150646887', '636239513140470886', '1902', '1', '000013170306144649000009994924', '07034433706', '000013170306144649000009994924', '07034433706', '3320004273', '3310001885', '39.82', '9999812087', '0', '0.', '100.00', '5.00', '0703', '9999008430', '0', '000636245691498822226338096987', '000013170309113623000010650577', '000013170309113623000010650577', '0', '100.00', '5.00', '0', '000013170310063946000010750550', '5', '000013170310063946000010750550', '100.00', '5.00', '154.92', '9999023992', '48', '9999009251', '154.82', '9999978298', '154.82', '000013170312195807000011199244']","['16/Mar/2017', '-', '(621/916432/1/13/0)', '01/Mar/2017', '16/Mar/2017', '01-Mar-2017', '01-Mar-2017', 'HASKE/LIBRACIN', '-004273-', '-', '-001885-', '-', 'ATM/POS', '-812087--', 'ACCESS/TANSI', '01-Mar-2017', '01-Mar-2017', '03-Mar-2017', '03-Mar-2017', '06-Mar-2017', '06-Mar-2017', '06-Mar-2017,', '06-Mar-2017', '06-Mar-2017', '06-Mar-2017', 'aCCess/TANSI', '06-Mar-2017', '06-Mar-2017', 'POS/WEB', '-008430-', '-', '08-Mar-2017', '07-Mar-2017', 'PINPAD-42220045-', '08-Mar-2017', '08-Mar-2017', '332/8788', 'FB/CHUKWUALUKA', '09-Mar-2017', '09-Mar-2017', '09-Mar-2017', '09-Mar-2017', 'FB/CHUKWUALUKA', '09-Mar-2017', '09-Mar-2017', 'FB/CHUKWUALUKA', '40-Mar-2017', '10-Mar-2017', 'STERLING/ADESIYAN.COM', 'STERLING/ADESIYAN.COM', '10-Mar-2017', '10-Mar-2017', 'POS/WEB', '-023992-', '-', '10-Mar-2017', '10-Mar-2017', '13-Mar-2017', '«13-Mar-2017', '-009251-', '-FCMB', '13-Mar-2017', '13-Mar-2017', 'ATM/POS', '-978298--', '13-Mar-2017', '13-Mar-2017', '13-Mar-2017', '13-Mar-2017', 'DBN/NWANERI']",5.jpg,Bank Statement,ITR_Form 16,False
1554,"['15', '03', '03', '06', '07', '07', '07', '17', '27', '0345', '24', '2020', '123456789', '1', '2', '01', '2020', '31', '2020', '04', '2020', '31', '2020', '362.94', '413.28', '195.05', '387.66', '332.34', '200.00', '279.59', '11.00', '11.99', '85.00', '421.95', '49.99', '99.99', '317.67', '387.66', '18.73', '169828', '868.85', '668.85', '389.26', '378.26', '366.27', '281.27', '694.55', '272.60', '22261', '122.62', '31787', '0.00', '987.66', '0.00', '392.34', '316.61']","['13.Jul20—-', '13Jul20.-', ""THE'JUICEPLUS+COMP-"", '11-04-20']",51.jpg,Bank Statement,ITR_Form 16,False
775,"['02', '2019', '02', '2019', '10', '2019', '15', '15', '2019', '20', '2019', '2019', '25', '25', '2019']",['RefNo/ChequeNo|'],52.jpg,Bank Statement,ITR_Form 16,False
507,"['1250.00', '055444', '15414', '5000.00']","['[/CICi', '{02-04-2017', '[12-04-2017', '14:04-2097', '10-04-2017', '07-04-2017|Ret.', 'o2-04-2017|Ret']",53.jpg,Bank Statement,ITR_Form 16,False
2038,"['802', '3', '4562', '004562', '00684', '00506', '200015', '2014', '80000000', '0592', '1249', '43', '11', '18', '13', '2010', '14', '13', '001587905', '21', '08', '15', '29', '13', '02', '20', '13', '13', '13', '448960', '09', '13', '07', '14', '8', '4', '1']","['40-06-15', '2/1', 'www_-hshe.co_ule', 'CURRENT/EUROPEAN', 'IDLGB225278/00990274', 'B/F', '20-10-53', '40-05-15']",54.jpg,Bank Statement,ITR_Form 16,False
775,"['900', '1000000', '20000', '15', '000000', '0000', '00000', '20142039', '2000', '2000000', '2000', '1000000']",['RefNo/ChequeNo]'],55.jpg,Bank Statement,ITR_Form 16,False
1251,"['1', '2', '01', '29', '2020', '123456789', '123456780', '2411860.00', '112719', '3275', '112719', '3275', '112719', '3275', '112719', '3275', '112719', '3275', '02122']","['2020-', '7435100875-716-', '02/20', '02/04', '02/7', '02/20', '02/27', '02/18', '02/18']",56.jpg,Bank Statement,ITR_Form 16,False
